,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind Speed,Country,Date
295,chuy,32.6667,-17.1,66.7,66,97,4.59,PT,1638897833
296,cardston,34.1667,77.5833,12.92,59,93,3.96,IN,1638897835
297,moose factory,51.3813,1.3862,46.96,92,100,8.99,GB,1638897837
298,raudeberg,-17.7125,-39.2481,76.95,86,100,6.96,BR,1638897838
299,barentsburg,63.2842,118.3319,-29.67,100,30,2.55,RU,1638897840
300,tabiauea,-16.3494,-53.7583,86.18,57,34,5.1,BR,1638897842
301,cayenne,28.419,30.7792,65.39,28,100,11.95,EG,1638897843
302,cuenca,18.0072,-65.8993,87.48,75,44,14.58,PR,1638897845
303,poronaysk,64.1835,-51.7216,18.21,53,20,12.66,GL,1638897849
304,tayu,5.2052,-4.4146,85.91,74,57,8.25,CI,1638897850
305,ancud,45.6573,-68.7098,33.35,40,1,11.5,US,1638897607
306,santa maria,37.755,39.3167,48.81,46,100,4.27,TR,1638897855
307,ngukurr,-34.0033,24.7314,62.89,76,84,5.03,ZA,1638897860
308,mocuba,1.3292,172.9752,82.4,78,20,10.36,KI,1638897862
309,tura,57.4642,9.9823,35.08,90,88,10.65,DK,1638897864
310,boone,61.67,96.37,5.65,98,100,1.57,RU,1638897866
311,pangnirtung,-23.7,133.8833,72.95,68,88,5.75,AU,1638897845
312,samut sakhon,22.6783,-3.9836,72.86,14,64,14.61,ML,1638897870
313,vershino-darasunskiy,19.385,-99.165,66.99,42,1,1.01,MX,1638897875
314,ust-koksa,26.2333,92.5167,65.25,95,2,3.87,IN,1638897877
315,bokspits,20.1986,1.0114,81.01,11,10,2.8,ML,1638897879
316,hailar,-20.3167,118.5667,82.45,83,66,6.91,AU,1638897582
317,rexburg,66.5,25.7167,4.41,78,0,10.36,FI,1638897883
318,bida,-16.4833,-151.75,80.73,71,95,6.76,PF,1638897885
319,terra santa,-0.6136,-47.3561,81.97,82,82,10.74,BR,1638897887
320,san quintin,49.1447,56.4872,25.43,83,13,11.18,KZ,1638897889
321,ewa beach,34.5686,105.8933,34.81,98,100,0.69,CN,1638897891
322,matale,-20.7189,-46.6097,78.64,57,34,4.7,BR,1638897893
323,okha,46.4856,135.8833,5.9,91,11,4.81,RU,1638897895
324,ponta do sol,-28.45,18.7333,89.98,14,1,15.64,NA,1638897899
325,leh,44.5875,-1.0519,53.65,94,75,19.57,FR,1638897901
326,margate,-6.1349,12.3689,84.25,84,57,8.25,AO,1638897909
327,caravelas,45.0205,-93.218,16.25,82,90,3,US,1638897911
328,nyurba,-2.2717,40.902,80.28,77,84,10.51,KE,1638897912
329,guiratinga,48.0056,91.6419,19.9,64,52,4.45,MN,1638897914
330,matay,-30.7414,30.455,70.75,77,100,8.72,ZA,1638897917
331,maunabo,34.2284,-92.0032,44.71,52,90,10,US,1638897720
332,sumbawa,5.6083,-3.1563,84.24,66,100,6.11,CI,1638897921
333,nuuk,14.4,46.4667,64.89,24,2,2.89,YE,1638897923
334,jacqueville,60.8156,-115.7999,-13.02,70,40,5.75,CA,1638897925
335,millinocket,59.7,150.1667,-11.2,98,67,6.69,RU,1638897926
336,siverek,40.4272,71.7189,42.22,75,98,4.61,UZ,1638897929
337,marcona,64.5011,-165.4064,-9.09,98,36,6.24,US,1638897931
338,kruisfontein,21.4447,-157.8378,71.31,93,75,6.91,US,1638897933
339,bairiki,-1.45,-79.4667,90.14,51,83,1.36,EC,1638897931
340,hjorring,-45.5752,-72.0662,80.55,29,0,6.91,CL,1638897937
341,baykit,32.296,-81.2354,71.56,68,75,4.61,US,1638897939
342,alice springs,38.2019,20.4314,54.7,64,99,30.94,GR,1638897940
343,taoudenni,-33.4131,-56.5006,82.35,36,20,12.66,UY,1638897943
344,warqla,24.7833,85,66.11,88,20,0,IN,1638897945
345,benito juarez,26.5833,106.7167,54.09,50,90,4.47,CN,1638897797
346,raha,-33.0117,17.9442,71.65,82,59,25.32,ZA,1638897949
347,tessalit,-28.55,16.4333,64.33,77,0,21.81,NA,1638897953
348,port hedland,-3.2078,-43.4036,91.26,46,45,4.94,BR,1638897955
349,rovaniemi,-17.8167,25.15,77.09,73,75,1.14,BW,1638897957
350,faanui,-32.95,151.6667,66.69,87,61,1.99,AU,1638897792
351,salinopolis,54.1169,-112.4686,15.49,92,100,2.3,CA,1638897960
352,shubarkuduk,-4.8828,-66.8958,78.89,80,100,0.6,BR,1638897962
353,beidao,-22.8167,47.8333,78.12,82,0,13.76,MG,1638897964
354,passos,-20.7333,139.5,78.57,57,50,0,AU,1638897966
355,vostok,33.1222,46.1646,60.28,39,76,1.81,IR,1638897969
356,warmbad,4.5721,28.3955,84.18,28,100,2.44,SS,1638897971
357,arcachon,-35.4444,-60.8831,85.87,35,0,13.78,AR,1638897741
358,dekoa,30.7522,120.75,57.02,77,100,6.08,CN,1638897974
359,soyo,58.3019,-134.4197,33.8,93,90,26.46,US,1638897976
360,saint anthony,56.1622,97.1933,32.31,84,100,9.98,RU,1638897977
361,lamu,22.2394,68.9678,76.59,62,1,12.66,IN,1638897979
362,hovd,43.8228,144.1044,35.67,80,97,3.09,JP,1638897981
363,port shepstone,5.8833,-56.3167,81.9,75,97,3.38,SR,1638897983
364,pine bluff,40.9965,15.6514,40.5,73,42,15.23,IT,1638897985
365,ayame,54.8097,105.1578,14.2,96,100,1.92,RU,1638897987
366,marzuq,-20.2833,44.2833,82.47,76,38,15.55,MG,1638897989
367,hay river,-8.8978,-35.1478,83.88,60,60,13.42,BR,1638897991
368,arman,3.8653,-67.9239,81.88,81,96,4.34,CO,1638897994
369,komsomolskiy,-8.7597,-35.1047,84.15,59,65,12.91,BR,1638897996
370,nome,53.3925,-2.5802,45.86,83,40,3,GB,1638897900
371,ahuimanu,10.7,37.2667,60.8,41,46,3.98,ET,1638898000
372,ventanas,-31.4333,152.9167,64.89,95,77,6.42,AU,1638897773
373,coihaique,63.1792,14.6357,14.61,79,90,13.8,SE,1638898003
374,rincon,1.1667,108.9667,78.12,90,99,7.65,ID,1638898005
375,lixourion,67.6713,53.087,5.36,97,45,8.08,RU,1638898006
376,durazno,11.6667,92.75,79.84,69,50,13.27,IN,1638898007
377,gaya,-34.5667,146.4,53.89,66,0,10.36,AU,1638898010
378,guiyang,11.2408,-74.199,85.41,65,62,11.5,CO,1638897923
379,saldanha,39.4625,-3.608,51.12,83,88,21.63,ES,1638898014
380,sapao,7.2424,-70.7324,86,62,95,5.75,VE,1638898015
381,oranjemund,43.3578,76.8594,35.46,93,90,4.47,KZ,1638898017
382,urbano santos,35.7333,140.8333,50.4,88,100,31.83,JP,1638898019
383,kasane,-2.0226,147.2712,81.3,84,100,16.58,PG,1638898020
384,charlestown,54.1135,47.6231,21.16,74,99,16.24,RU,1638898022
385,smoky lake,49.9811,92.0667,11.95,87,99,3.83,MN,1638898024
386,carauari,14.9215,-23.5087,79.34,65,75,21.85,CV,1638898014
387,farafangana,35.1333,140.3,53.62,94,100,22.53,JP,1638898027
388,mount isa,18.8059,-71.2299,81.27,48,34,4.88,DO,1638898029
389,skalistyy,19.3003,97.9685,65.8,83,0,1.92,TH,1638898031
390,mehran,-8.116,-79.03,66.16,82,20,14.97,PE,1638898034
391,yambio,-17.397,32.2268,83.82,23,89,9.17,ZW,1638898036
392,nueve de julio,-0.9492,100.3543,78.76,83,100,3.56,ID,1638898038
393,jiaxing,-20.3297,-40.2925,71.55,100,90,3.44,BR,1638897816
394,juneau,37.5683,126.9778,40.44,100,0,3.44,KR,1638898041
395,nizhnyaya poyma,69.1304,18.6123,17.67,76,20,0,NO,1638898044
396,dwarka,40.0444,-111.7321,48,62,40,4.61,US,1638898046
397,bihoro,45.6,26.7333,35.22,84,100,6.71,RO,1638898047
398,totness,40.1629,-8.3327,58.93,93,100,15.77,PT,1638898051
399,melfi,-4.9408,122.5276,75.18,94,100,4.7,ID,1638898053
400,zhigalovo,29.6195,51.6541,59.86,29,1,2.04,IR,1638898055
401,morondava,-20.7377,116.8463,87.82,47,32,3.24,AU,1638898057
402,sao jose da coroa grande,21.4022,-157.7394,71.58,94,75,6.91,US,1638898059
403,inirida,-3.6667,152.4333,78.57,88,100,6.08,PG,1638898061
404,tamandare,51.3223,42.7678,33.75,94,100,17.47,RU,1638898062
405,warrington,11.5233,7.3081,78.44,20,75,8.93,NG,1638898064
406,finote selam,43.3665,-124.2179,49.98,97,90,0,US,1638898066
407,port macquarie,16.4667,107.6,66.31,88,75,3.44,VN,1638898068
408,ostersund,65.282,-126.8329,-0.36,71,75,6.91,CA,1638898070
409,pemangkat,33.7499,45.5541,63.66,41,97,1.97,IQ,1638898072
410,naryan-mar,32.8663,59.2211,45.07,29,0,4.61,IR,1638898074
411,port blair,43.2,51.65,50.04,55,3,16.73,KZ,1638898076
412,leeton,-26.9566,24.7284,77.58,37,30,16.42,ZA,1638898078
413,santa marta,48.9329,-125.5528,45.09,93,100,3,CA,1638898080
414,consuegra,-28.8667,153.5667,67.96,96,100,8.05,AU,1638898082
415,guasdualito,-3.4167,114.85,78.89,94,90,1.14,ID,1638898084
416,boralday,69.3833,178.4167,-9.81,80,98,13.49,RU,1638897917
417,hasaki,66.7131,27.4306,-1.23,91,13,3.91,FI,1638898088
418,lorengau,-21.6924,165.677,73.35,82,28,1.54,NC,1638898089
419,mayna,-24.7572,-51.7614,76.23,43,34,7.52,BR,1638898091
420,ulaangom,68.3499,-133.7218,11.26,85,20,6.91,CA,1638898093
421,praya,-45.8742,170.5036,50.18,91,28,3.15,NZ,1638897840
422,katsuura,-34.6177,-68.3301,89.2,30,33,18.03,AR,1638898096
423,san juan de la maguana,23.6977,103.3037,49.86,85,0,4.94,CN,1638898098
424,mae hong son,47.3821,-61.8597,39.25,65,20,32.21,CA,1638898100
425,trujillo,-9.9133,-63.0408,83.91,79,88,2.95,BR,1638898101
426,mutoko,19.2056,-69.3369,84.42,79,40,13.8,DO,1638898102
427,padang,-7.0067,39.2985,76.57,82,92,6.35,TZ,1638898104
428,vila velha,-3.9014,-38.3911,89.22,61,30,15.05,BR,1638898105
429,seoul,-20.5167,57.5167,79.18,73,40,6.91,MU,1638898107
430,moen,11.1373,123.7228,78.24,90,100,29.95,PH,1638898110
431,payson,37.8,-25.5833,61.29,95,40,17.27,PT,1638898114
432,vintileasca,40.4165,0.4271,59.56,76,53,5.41,ES,1638898116
433,altonia,-46.1333,167.6833,50.83,93,99,4.16,NZ,1638897958
434,lata,5.6592,-53.7767,82.09,78,62,6.87,GF,1638898119
435,katobu,-2.9248,-39.9167,88.14,59,8,18.1,BR,1638898121
436,kazerun,-12.7336,45.2042,82.11,74,20,3.44,YT,1638898122
437,karratha,49.7834,-74.8492,-2.42,88,100,13.02,CA,1638898124
438,kailua,56.1832,40.6149,30.58,97,100,11.1,RU,1638898126
439,namatanai,33.6103,-114.5964,63.03,27,100,1.99,US,1638898128
440,kamenka,64.8378,-147.7164,19.36,83,90,0,US,1638898067
441,funtua,9.9833,10.9333,82.44,20,69,6.96,NG,1638898134
442,coos bay,50.5851,4.9028,41.83,94,99,20.54,BE,1638898136
443,hue,6.75,11.8167,79.66,26,67,5.48,CM,1638898001
444,norman wells,45.4094,141.6739,35.92,57,3,6.22,JP,1638898139
445,mandali,66.8333,70.8333,-7.35,89,91,13.09,RU,1638898141
446,birjand,67.667,12.6934,28.26,69,99,14.41,NO,1638898143
447,kuryk,9.3503,-65.3245,93.63,33,21,5.86,VE,1638898146
448,vryburg,-36.6167,-71.8333,83.39,17,0,8.25,CL,1638898147
449,ucluelet,10.5669,72.642,80.29,69,0,9.57,IN,1638897952
450,ballina,2.1833,22.4667,76.21,85,91,6.78,CD,1638898154
451,martapura,69.3,139.9,-28.82,94,100,4.27,RU,1638898157
452,leningradskiy,-8.0089,-34.8553,85.73,62,20,10.36,BR,1638897903
453,kemijarvi,27.5167,88.5333,56.71,52,3,6.98,IN,1638898160
454,moindou,64.2273,27.7285,-3.95,84,97,3.44,FI,1638898162
455,pitanga,-7.6142,-72.8958,86.07,79,40,4.61,BR,1638898164
456,inuvik,-8.19,114.9675,78.66,86,90,4.21,ID,1638898166
457,dunedin,56.9064,118.2631,4.03,82,47,2.44,RU,1638898168
458,san rafael,-25.5333,152.7,73.11,94,80,1.79,AU,1638898171
459,kaiyuan,55.5333,86.05,23.88,92,100,12.8,RU,1638898173
460,cap-aux-meules,40.8021,-124.1637,53.64,97,27,2.21,US,1638898176
461,ariquemes,41.8334,-70.8328,43.99,46,1,1.01,US,1638898178
462,samana,8.4509,98.5298,77.04,90,12,6.24,TH,1638898179
463,vikindu,35.0113,37.0532,58.89,36,100,24.23,SY,1638898181
464,aquiraz,11.9801,18.2138,84.49,17,24,9.1,TD,1638898183
465,souillac,-37.8811,147.981,53.58,82,100,5.55,AU,1638897971
466,kerki,37.7167,-25.4333,62.2,68,89,12.06,PT,1638898186
467,sulangan,9.538,-13.6773,89.67,62,20,6.91,GN,1638898111
468,vaitupu,4.8833,38.0833,67.08,38,38,10.31,ET,1638898190
469,rabo de peixe,7.9986,124.2928,66.65,93,100,1.23,PH,1638898192
470,benicarlo,23.6333,94.4167,66.69,95,96,2.57,MM,1638898194
471,tuatapere,-41.0667,145.9167,45.61,77,49,5.79,AU,1638898196
472,mana,-17.9333,19.7667,76.08,53,90,13.18,NA,1638898198
473,itarema,24.4167,111.5167,52.48,65,1,3.76,CN,1638898202
474,koungou,-23.85,151.25,75.13,83,75,3.44,AU,1638898204
475,chapais,42.2506,-75.833,35.02,63,75,5.01,US,1638898206
476,orgtrud,18.6853,12.9164,66.27,17,61,15.57,NE,1638898209
477,blythe,54.7682,-101.865,-2.9,82,45,3.6,CA,1638898206
478,fairbanks,-6.0989,106.6381,79.63,94,40,2.3,ID,1638898212
479,pindiga,-6.2887,145.8655,62.04,98,100,1.99,PG,1638898214
480,eghezee,4.1363,96.1285,78.48,82,61,3.65,ID,1638898009
481,banyo,49.4806,-119.5858,30.42,89,75,2.3,CA,1638898204
482,wakkanai,-34.6534,-58.6198,85.01,45,0,7,AR,1638898220
483,yar-sale,41.9563,42.9566,56.77,48,0,9.95,GE,1638897974
484,sorland,46.4154,3.9054,45.84,65,100,13.8,FR,1638898224
485,zaraza,45.3167,55.2,40.44,66,25,9.64,KZ,1638898226
486,coihueco,-39.8833,176.6333,66.38,94,79,1.63,NZ,1638898228
487,kavaratti,-34.0527,23.3716,61.18,83,22,4.38,ZA,1638898232
488,aflu,54.3,110.3,16.65,88,65,3.51,RU,1638898234
489,falealupo,23.0396,89.6328,69.48,92,43,5.46,BD,1638898236
490,bumba,50.2581,-119.2691,32.13,79,97,3.44,CA,1638898188
491,deputatskiy,-35.1167,139.2667,56.43,66,83,11.21,AU,1638898240
492,olinda,18.9048,-3.5265,79,10,13,9.28,ML,1638897984
493,mangan,29.106,58.357,53.67,28,0,6.35,IR,1638898245
494,kajaani,65.5833,-171,-2.54,82,81,6.96,RU,1638897973
495,mancio lima,-20.3667,14.9667,75.88,24,0,18.23,NA,1638898249
496,banjar,-0.6876,100.9537,72.41,98,98,0.45,ID,1638898251
497,chara,15.85,-97.0667,86.83,66,1,0,MX,1638898130
498,maryborough,63.7198,39.6447,12.74,92,100,10.2,RU,1638898254
499,kedrovka,37.2975,120.8256,34.88,73,21,2.28,CN,1638898256
500,eureka,43.1195,46.4828,46.69,69,4,4.03,RU,1638898258
501,plymouth,5.9485,80.5353,77.27,86,84,5.61,LK,1638898260
502,phangnga,-19.9842,57.6142,79.29,72,4,5.01,MU,1638898263
503,salamiyah,52.371,84.3873,24.94,93,100,11.72,RU,1638898265
504,bitkine,40.7357,-74.1724,44.35,45,75,10.36,US,1638897972
505,lakes entrance,43.7444,135.2892,27.7,64,0,4,RU,1638898269
506,vila franca do campo,42.1859,127.479,15.26,89,7,3.85,CN,1638898271
507,conakry,-6.3424,106.1045,77.95,95,41,3.22,ID,1638898272
508,yabelo,51.226,-58.6502,33.57,63,62,35.37,CA,1638898274
509,marawi,14.0833,98.2,66.4,66,85,5.5,MM,1638898276
510,mawlaik,29.4608,-95.0513,63.21,81,75,1.99,US,1638898278
511,burnie,54.4299,31.8996,22.82,93,100,8.43,RU,1638898280
512,rundu,11.2842,49.1816,75.52,62,4,5.82,SO,1638898282
513,kamenskoye,9.2667,-3,86.92,15,11,2.21,CI,1638898284
514,babu,-38.5473,-58.7368,87.04,34,1,12.35,AR,1638898286
515,gladstone,25.0213,37.2685,77.09,62,54,5.26,SA,1638898287
516,broome,-13.8483,136.4192,75.07,100,60,3.44,AU,1638897991
517,bilma,-14.25,129.55,82.85,77,79,5.46,AU,1638898292
518,flin flon,-28.0611,-50.9383,73.02,46,45,6.76,BR,1638898294
519,teluknaga,48.6814,71.6433,18.52,96,100,6.76,KZ,1638898296
520,kainantu,-1.5746,9.2618,78.19,88,88,6.6,GA,1638898298
521,meulaboh,-7.2597,-34.9075,85.46,58,40,13.8,BR,1638898300
522,penticton,43.3476,3.219,50.4,71,90,11.5,FR,1638898301
523,moron,33.6668,-95.5836,50.52,53,90,12.66,US,1638898303
524,khani,-34.4833,-54.3333,75.43,37,0,14.79,UY,1638898305
525,saint-francois,61.5071,38.9456,17.62,94,100,8.72,RU,1638898307
526,beyneu,28.3667,129.4833,61.7,57,13,20.83,JP,1638898310
527,otane,27.9769,-114.0611,64.87,71,0,3.71,MX,1638898038
528,ambodifototra,5.5577,95.3222,78.13,84,18,9.6,ID,1638898313
529,plettenberg bay,9.4236,-84.1652,92.5,70,42,6.17,CR,1638898315
530,kurumkan,60.7161,-135.0538,21.97,79,40,12.66,CA,1638898066
531,kalia,22.7583,121.1444,65.73,82,18,15.05,TW,1638898319
532,vernon,-31.732,-60.5238,90.52,33,0,11.48,AR,1638898321
533,murray bridge,48.5669,-78.1162,-3.73,69,98,10.13,CA,1638898203
534,araouane,34.6167,71.9714,53.94,33,49,5.12,PK,1638898324
535,pirsagi,-28.65,153.6167,74.05,90,100,7.14,AU,1638898326
536,bam,26.9581,56.2719,67.89,47,0,6.93,IR,1638898328
537,lavrentiya,-21.4803,-56.1381,97.21,23,14,9.26,BR,1638898329
538,khorixas,50.6996,-127.4199,47.75,93,75,19.57,CA,1638898206
539,sijunjung,33.3406,44.4009,58.91,63,98,4.61,IQ,1638898058
540,puerto escondido,55.619,38.1182,34.38,100,90,2.24,RU,1638898335
541,kodino,24.7424,67.5856,66.42,19,0,7.49,PK,1638898313
542,qixia,9.8167,80.2333,79.72,76,14,10.56,LK,1638898054
543,novolakskoye,17.4924,44.1277,63.25,19,0,2.71,SA,1638898340
544,matara,38.4253,-7.5349,56.88,85,98,12.8,PT,1638898342
545,cap malheureux,6.4926,17.4552,82.83,26,61,4.74,CF,1638898344
546,bystryy istok,-6.3264,108.32,79.61,84,65,6.96,ID,1638898346
547,newark,37.7333,-25.6667,62.51,67,40,17.27,PT,1638898348
548,olga,36.5484,-82.5618,43.09,54,40,1.01,US,1638897855
549,songjianghe,22.7886,100.9748,51.84,88,1,1.9,CN,1638898352
550,karaton,45.1334,-73.9992,27.09,52,27,15.17,CA,1638898354
551,saint-augustin,-28.5708,-70.7581,84.22,29,54,11.34,CL,1638898357
552,dawei,27.6333,78.8833,62.83,40,0,5.37,IN,1638898359
553,dickinson,66.53,66.6019,-16.74,99,52,2.24,RU,1638898361
554,sobolevo,10.3744,10.7288,81.41,20,43,7.99,NG,1638898362
555,bosaso,43.5983,73.7614,42.01,75,100,3.18,KZ,1638898364
556,bouna,66.3167,-179.1667,-6.25,99,99,2.55,RU,1638898366
557,necochea,-0.8667,134.0833,80.53,81,100,2.55,ID,1638898369
558,umm lajj,-17.8786,36.8883,84.15,70,0,17.27,MZ,1638898370
559,alyangula,32.5341,20.5791,60.1,62,61,29.04,LY,1638898373
560,port keats,13.0667,-59.5333,86.09,62,75,23.02,BB,1638898376
561,estrela,63.05,179.3167,-12.77,94,64,2.24,RU,1638898378
562,atasu,-8.103,156.8419,81.48,82,99,11.88,SB,1638898380
563,omboue,-20.7756,-41.6794,70.3,88,79,6.51,BR,1638898382
564,conde,49.1414,57.13,21.18,92,18,10.67,KZ,1638898383
565,beziers,24.8,125.2833,69.55,58,96,19.89,JP,1638898385
566,lamar,19.75,10.25,63.43,19,2,11.32,NE,1638898387
567,rocha,8.1222,-63.5497,88.86,48,72,9.51,VE,1638898389
568,kargopol,21.65,-101.5,69.28,30,30,7.92,MX,1638898391
569,naze,6.9667,37.8667,60.66,34,19,6.17,ET,1638898393
570,guerrero negro,46.8333,124.4167,15.13,94,5,4.81,CN,1638898395
571,banda aceh,9.5201,-84.3225,99.25,68,41,6.89,CR,1638898397
572,quepos,60.1247,64.7758,-1.91,92,79,6.53,RU,1638898399
573,whitehorse,-14.3779,34.3332,69.69,37,63,3.11,MW,1638898400
574,taitung,64.8621,11.2373,23.11,58,0,19.57,NO,1638898402
575,parana,43.2128,-75.4557,35.46,87,90,8.05,US,1638898331
576,amos,51.095,54.0814,21.96,62,26,9.33,KZ,1638898405
577,bat khela,,,,,,,,
578,byron bay,,,,,,,,
579,qeshm,,,,,,,,
580,jardim,,,,,,,,
581,port hardy,,,,,,,,
582,nizhneyansk,,,,,,,,
583,baghdad,,,,,,,,
584,ilinskiy,,,,,,,,
585,gharo,,,,,,,,
586,point pedro,,,,,,,,
587,najran,,,,,,,,
588,reguengos de monsaraz,,,,,,,,
589,bossangoa,,,,,,,,
590,indramayu,,,,,,,,
591,ponta delgada,,,,,,,,
592,kingsport,,,,,,,,
593,simao,,,,,,,,
594,ormstown,,,,,,,,
595,vallenar,,,,,,,,
596,sidhpura,,,,,,,,
597,salekhard,,,,,,,,
598,bara,,,,,,,,
599,shu,,,,,,,,
600,egvekinot,,,,,,,,
601,manokwari,,,,,,,,
602,quelimane,,,,,,,,
603,tukrah,,,,,,,,
604,hunza,,,,,,,,
605,oistins,,,,,,,,
606,beringovskiy,,,,,,,,
607,gizo,,,,,,,,
608,guacui,,,,,,,,
609,temir,,,,,,,,
610,hirara,,,,,,,,
611,agadez,,,,,,,,
612,ciudad bolivar,,,,,,,,
613,ocampo,,,,,,,,
614,boditi,,,,,,,,
615,taikang,,,,,,,,
616,parrita,,,,,,,,
617,uray,,,,,,,,
618,dedza,,,,,,,,
619,rorvik,,,,,,,,
620,roma,,,,,,,,
621,chingirlau,,,,,,,,
